T1: 1(0.98), 3(0.86), 5(0.92), 7(0.82), 9(0.93), 11(0.94), 13(0.85), 15(0.94), 17(0.94), 19(0.99), 21(0.9), 23(0.94), 25(0.83), 27(0.95), 29(0.89), 31(0.85), 34(0.82), 36(0.84), 38(0.96), 40(0.89), 42(0.89), 44(0.91), 46(0.91), 48(0.82), 50(0.98), 52(0.99), 54(0.9), 56(0.97), 58(0.88), 60(0.81), 62(0.88), 64(0.99), 66(0.9), 68(0.88), 70(0.93), 72(0.82), 74(1.0)
T2: 1(0.95), 3(0.81), 5(0.93), 7(0.92), 9(0.95), 12(0.91), 13(0.82), 15(1.0), 17(0.81), 19(0.98), 21(0.82), 23(0.92), 25(0.91), 27(0.86), 29(0.9), 31(0.88), 34(0.8), 36(0.97), 38(0.89), 40(0.88), 42(0.95), 44(0.94), 46(0.97), 48(0.89), 50(0.84), 52(0.92), 54(0.82), 56(0.91), 58(0.92), 60(0.9), 62(0.96), 64(0.9), 66(0.81), 68(0.86), 70(0.87), 72(0.96), 74(0.96)
T3: 1(0.96), 3(0.9), 5(0.81), 7(0.85), 9(0.98), 12(0.98), 13(0.95), 16(0.89), 17(0.87), 19(0.94), 21(0.82), 23(0.8), 25(0.84), 27(0.93), 29(0.93), 31(0.97), 34(0.99), 36(0.81), 38(0.98), 40(0.81), 42(0.91), 44(0.96), 46(0.88), 48(0.86), 50(0.9), 52(0.89), 54(0.92), 56(0.93), 58(0.84), 60(0.81), 62(0.83), 64(0.99), 66(0.82), 68(0.92), 70(0.89), 72(0.91), 74(0.9)
T4: 1(0.8), 3(0.82), 5(0.98), 7(0.8), 9(0.89), 11(0.93), 13(0.96), 15(0.9), 17(0.94), 20(0.93), 21(0.81), 23(0.85), 25(0.86), 27(0.95), 29(0.91), 31(0.96), 34(0.95), 36(0.98), 38(0.83), 40(0.8), 42(0.96), 44(0.92), 47(0.86), 48(0.88), 50(0.99), 52(0.96), 54(0.97), 56(0.87), 58(0.92), 60(0.96), 62(0.83), 64(0.88), 66(0.84), 68(0.96), 70(0.87), 72(0.95), 74(0.95)
T5: 1(0.83), 3(0.85), 5(0.97), 7(0.86), 9(0.96), 11(0.93), 13(0.95), 15(0.93), 17(0.85), 19(0.93), 21(0.91), 23(0.88), 25(0.94), 27(0.82), 29(0.82), 31(0.95), 34(0.96), 36(0.94), 38(0.87), 40(0.84), 42(0.94), 44(0.9), 46(0.95), 48(0.97), 51(0.83), 52(0.91), 54(0.84), 56(0.82), 58(0.85), 60(0.81), 62(0.87), 64(0.94), 66(0.91), 68(0.96), 70(0.91), 72(0.94), 74(0.94)
T6: 1(0.99), 3(0.82), 5(0.84), 7(0.86), 9(0.95), 11(0.81), 13(0.89), 15(1.0), 17(0.95), 19(0.98), 21(0.95), 23(0.9), 25(0.87), 27(0.86), 29(0.92), 31(0.82), 34(0.87), 36(0.82), 38(0.87), 40(0.86), 42(0.9), 44(0.92), 46(0.88), 48(0.94), 51(0.91), 52(0.91), 54(0.83), 56(0.85), 58(0.96), 60(0.89), 63(0.94), 64(0.94), 66(0.92), 68(0.92), 70(0.96), 72(0.91), 74(0.9)
T7: 1(0.99), 3(0.9), 5(0.86), 7(0.83), 9(0.84), 11(0.99), 13(0.92), 15(0.88), 17(0.81), 20(1.0), 21(0.95), 23(0.91), 25(0.87), 27(0.85), 29(0.99), 31(0.96), 34(0.83), 36(0.99), 38(0.84), 40(0.86), 42(0.87), 44(0.81), 47(0.84), 48(0.83), 51(0.99), 52(1.0), 54(0.81), 56(0.97), 58(0.85), 60(0.84), 62(0.83), 64(0.83), 66(0.81), 68(0.95), 70(0.93), 72(0.92), 74(0.85)
T8: 1(0.84), 3(0.81), 5(0.99), 7(0.92), 9(0.93), 12(0.97), 13(0.86), 15(0.87), 17(0.87), 19(0.96), 21(0.92), 24(1.0), 25(0.89), 27(0.8), 29(0.99), 31(0.86), 34(0.88), 36(0.8), 38(0.81), 40(0.91), 42(0.96), 44(0.85), 46(0.81), 48(0.87), 50(0.88), 52(0.89), 54(0.97), 56(0.86), 58(0.89), 60(0.97), 62(0.97), 64(0.9), 66(0.92), 68(0.95), 70(0.84), 72(0.86), 74(0.99)
T9: 1(0.91), 3(0.93), 5(0.81), 7(0.89), 9(0.85), 11(0.82), 13(0.98), 15(0.82), 17(0.98), 19(0.89), 21(0.86), 24(0.81), 25(0.97), 27(1.0), 29(0.83), 31(0.94), 34(0.93), 36(0.93), 38(0.81), 40(0.86), 42(0.86), 44(0.82), 46(0.81), 48(0.97), 50(0.82), 52(0.9), 54(0.83), 56(0.84), 58(0.97), 60(0.93), 62(0.81), 65(0.88), 66(0.95), 68(0.9), 70(0.95), 72(0.82), 74(0.95)
T10: 1(1.0), 3(0.96), 5(0.94), 7(0.82), 9(0.94), 11(0.83), 13(0.86), 16(0.93), 17(0.85), 19(0.91), 21(0.93), 24(0.81), 25(0.84), 27(0.89), 29(0.9), 31(0.81), 34(0.97), 36(0.88), 38(0.88), 40(0.82), 42(0.92), 44(0.89), 46(0.95), 48(0.83), 50(0.88), 52(0.97), 54(0.95), 56(0.95), 58(0.93), 60(0.93), 62(0.92), 64(0.84), 66(0.94), 68(0.86), 70(0.94), 72(0.83), 74(0.86)
T11: 1(0.8), 3(0.84), 5(0.96), 7(0.85), 9(0.8), 12(0.87), 13(0.99), 16(0.96), 17(0.92), 19(0.9), 21(0.9), 24(0.89), 25(0.83), 27(0.82), 29(0.97), 31(0.95), 34(0.93), 36(0.99), 38(0.9), 40(1.0), 42(0.95), 44(0.92), 46(0.96), 48(0.9), 50(0.95), 52(0.86), 54(0.92), 56(0.89), 58(0.91), 60(0.84), 62(0.84), 64(0.88), 66(0.93), 68(0.92), 70(0.96), 72(0.91), 74(0.84)
