Total itemsets found: 94
Elapsed time: 648ms
[27] - 1642.0000000000048
[38] - 1651.8799999999976
[54] - 1652.6299999999994
[21] - 1666.7099999999987
[72] - 1757.7800000000018
[74] - 1813.9200000000012
[17] - 1873.3799999999978
[31] - 1894.090000000002
[46] - 1909.2699999999998
[44] - 1953.400000000001
[64] - 1976.8299999999997
[42] - 2043.600000000003
[3, 29] - 1600.8579000000009
[25, 52] - 1610.7611000000006
[25, 29] - 1614.5412000000022
[58, 25] - 1615.503300000001
[25, 40] - 1614.5729999999949
[9, 52] - 1607.7301999999988
[29, 9] - 1617.331999999996
[58, 9] - 1616.986699999999
[9, 40] - 1617.9262000000003
[34, 5] - 1616.2951999999973
[5, 62] - 1606.3027
[5, 7] - 1609.0744999999997
[36, 5] - 1607.1389000000024
[5, 60] - 1633.0564000000034
[5, 52] - 1657.551600000004
[5, 29] - 1667.0222999999996
[58, 5] - 1664.7376000000004
[5, 40] - 1670.516200000002
[66, 48] - 1612.2610000000013
[48, 62] - 1612.4467999999972
[48, 7] - 1624.6174999999976
[36, 48] - 1669.4932999999999
[48, 60] - 1666.3241999999973
[48, 52] - 1682.653000000001
[48, 29] - 1684.7647999999974
[58, 48] - 1689.3009999999958
[48, 40] - 1691.1628000000003
[34, 56] - 1611.3998000000056
[66, 56] - 1598.8262999999988
[56, 62] - 1641.6385999999977
[56, 7] - 1638.446500000001
[56, 36] - 1633.8378000000016
[56, 60] - 1662.3064000000006
[56, 52] - 1690.5063999999988
[56, 29] - 1693.5148999999983
[56, 58] - 1696.0041
[56, 40] - 1696.0808000000004
[66, 34] - 1612.244600000001
[34, 62] - 1632.2950000000008
[34, 7] - 1642.3081999999972
[34, 36] - 1639.2952000000034
[34, 60] - 1667.1664999999982
[34, 52] - 1691.8480000000006
[34, 29] - 1701.5419000000056
[34, 58] - 1698.3450999999995
[34, 40] - 1704.5125999999982
[66, 62] - 1629.7466999999976
[66, 7] - 1639.7626999999998
[66, 36] - 1639.1287999999931
[66, 60] - 1688.5084999999983
[66, 52] - 1692.674900000002
[66, 29] - 1698.794700000001
[66, 58] - 1700.8144000000002
[66, 40] - 1702.9416999999994
[7, 62] - 1656.620699999997
[36, 62] - 1661.9882000000036
[60, 62] - 1690.6795000000004
[62, 52] - 1712.816500000003
[29, 62] - 1722.9363999999994
[58, 62] - 1725.2637000000022
[40, 62] - 1733.0814999999975
[36, 7] - 1671.713800000002
[7, 60] - 1698.5291000000002
[7, 52] - 1725.5075000000002
[29, 7] - 1730.7807000000003
[58, 7] - 1730.9685999999997
[7, 40] - 1734.8888999999995
[36, 60] - 1702.9950999999987
[36, 52] - 1724.9738999999995
[36, 29] - 1731.1424000000025
[58, 36] - 1738.2559000000017
[36, 40] - 1738.293200000001
[60, 52] - 1754.774200000003
[29, 60] - 1758.8978000000034
[58, 60] - 1761.5671999999977
[60, 40] - 1765.2136000000023
[29, 52] - 1784.6586000000032
[58, 52] - 1785.329199999999
[40, 52] - 1791.1899000000037
[58, 29] - 1793.2146999999986
[29, 40] - 1797.0955999999996
[58, 40] - 1801.3763999999994
