Total itemsets found: 19
Elapsed time: 387ms
[44] - 1953.400000000001
[64] - 1976.8299999999997
[42] - 2043.600000000003
[3] - 2127.6900000000023
[25] - 2154.569999999997
[9] - 2156.0900000000015
[5] - 2222.989999999996
[48] - 2252.259999999999
[56] - 2262.0399999999945
[34] - 2266.9800000000046
[66] - 2267.74
[62] - 2298.9099999999976
[7] - 2309.099999999996
[36] - 2315.5500000000015
[60] - 2349.3399999999965
[52] - 2385.5799999999954
[29] - 2391.76
[58] - 2396.289999999996
[40] - 2401.4800000000005
