Total itemsets found: 4897
Elapsed time: 5682ms
[64] - 514.22
[68] - 555.2199999999993
[47] - 561.5899999999999
[46] - 593.21
[7] - 625.9999999999998
[123] - 639.7499999999997
[88, 21] - 584.0994000000001
[79, 21] - 591.3639000000004
[94, 21] - 588.1841999999995
[36, 21] - 591.8744999999994
[90, 21] - 599.8233999999993
[55, 22] - 572.2591000000001
[22, 41] - 566.5232999999995
[22, 38] - 576.5353999999999
[22, 97] - 596.7493999999998
[22, 94] - 599.3989999999992
[22, 36] - 604.7612999999997
[22, 90] - 604.4610000000006
[44, 1] - 564.6075999999995
[44, 71] - 517.9348
[44, 67] - 555.5119000000002
[44, 41] - 534.1138999999995
[44, 97] - 622.6347999999987
[44, 94] - 594.5397999999996
[44, 36] - 588.9077
[44, 90] - 624.8185999999995
[2, 125] - 566.2590999999993
[24, 125] - 563.4760999999999
[125, 38] - 638.5596000000014
[125, 97] - 620.8170999999991
[125, 94] - 640.4320999999999
[36, 125] - 648.0973999999998
[125, 90] - 645.1415000000006
[23, 53] - 550.7477000000002
[104, 53] - 551.2951
[1, 53] - 552.5098000000002
[71, 53] - 534.4706000000004
[67, 53] - 578.7213999999998
[41, 53] - 567.4458999999995
[38, 53] - 580.6131000000005
[97, 53] - 531.5153000000004
[36, 94, 53] - 516.1698160000003
[90, 94, 53] - 518.1508260000003
[36, 90, 53] - 523.699183
[110, 102, 29] - 542.3283719999997
[110, 102, 70] - 544.4870340000008
[66, 110, 102] - 546.0667459999997
[55, 110, 102] - 543.042977
[110, 57, 102] - 543.8389430000002
[110, 2, 102] - 547.5846629999999
[110, 24, 102] - 541.4102319999995
[110, 102, 41] - 540.1313390000005
[110, 102, 38] - 544.3782599999998
[110, 102, 97] - 542.827128
[110, 102, 94] - 546.4785050000005
[110, 36, 102] - 543.1928869999995
[110, 102, 90] - 541.110618
[102, 29, 70] - 546.2225210000003
[66, 102, 29] - 547.6688670000004
[55, 102, 29] - 541.7675339999993
[57, 102, 29] - 545.4497960000001
[2, 102, 29] - 547.8306629999995
[24, 102, 29] - 542.0729960000003
[102, 29, 41] - 541.3127209999999
[102, 38, 29] - 545.3552259999997
[102, 29, 97] - 542.6776850000011
[102, 29, 94] - 547.7382539999996
[36, 102, 29] - 543.692385
[102, 90, 29] - 544.480029
[66, 102, 70] - 548.8092969999996
[55, 102, 70] - 545.7290390000002
[57, 102, 70] - 546.8539610000009
[2, 102, 70] - 549.5767220000006
[24, 102, 70] - 545.0483010000005
[102, 70, 41] - 543.7368890000008
[102, 38, 70] - 547.2720189999997
[102, 70, 97] - 544.991619000001
[102, 70, 94] - 550.8859939999992
[36, 102, 70] - 545.2116370000001
[102, 90, 70] - 544.1919089999996
[55, 66, 102] - 547.0959270000006
[66, 57, 102] - 549.7032939999995
[66, 2, 102] - 550.9016310000001
[66, 24, 102] - 547.7693280000001
[66, 102, 41] - 545.1477400000003
[66, 102, 38] - 550.2591239999999
[66, 102, 97] - 546.7694110000003
[66, 102, 94] - 551.5011639999991
[66, 36, 102] - 546.6019560000007
[66, 102, 90] - 547.3200380000011
[55, 57, 102] - 544.3756309999995
[55, 2, 102] - 546.1680420000009
[55, 24, 102] - 540.7609739999996
[55, 102, 41] - 540.0855870000003
[55, 102, 38] - 543.9834839999994
[55, 102, 97] - 542.4052300000003
[55, 102, 94] - 546.055228999999
[55, 36, 102] - 542.755962000001
[55, 102, 90] - 541.817464
[2, 57, 102] - 548.3733639999995
[24, 57, 102] - 545.0094019999999
[57, 102, 41] - 543.7409859999999
[57, 102, 38] - 547.3656709999995
[57, 102, 97] - 544.8356470000007
[57, 102, 94] - 548.6358169999999
[57, 36, 102] - 544.5009839999998
[57, 102, 90] - 545.1395569999991
[24, 2, 102] - 547.3658099999993
[2, 102, 41] - 545.2657209999995
[2, 102, 38] - 550.4065559999993
[2, 102, 97] - 547.2761500000004
[2, 102, 94] - 552.4860240000006
[2, 36, 102] - 547.2699449999998
[2, 102, 90] - 546.1984880000008
[24, 102, 41] - 540.8350399999995
[24, 102, 38] - 544.9876139999994
[24, 102, 97] - 542.5396230000003
[24, 102, 94] - 547.1216319999999
[24, 36, 102] - 542.4906350000007
[24, 102, 90] - 542.1795410000013
[102, 38, 41] - 543.2151120000009
[102, 41, 97] - 539.665024
[102, 94, 41] - 544.8657990000002
[36, 102, 41] - 539.649938
[102, 90, 41] - 540.4319319999995
[102, 38, 97] - 543.9856750000002
[102, 38, 94] - 549.8850520000001
[36, 102, 38] - 544.3336270000004
[102, 38, 90] - 543.2995440000007
[102, 94, 97] - 547.9831010000003
[36, 102, 97] - 542.1454690000006
[102, 90, 97] - 541.6981180000004
[36, 102, 94] - 547.4061969999996
[102, 90, 94] - 546.1892580000009
[102, 36, 90] - 542.317406
[39, 60] - 574.212999999999
[122, 60] - 638.6886000000004
[100, 60] - 577.3995999999999
[60, 31] - 630.1689999999995
[1, 60] - 627.3239999999998
[88, 79, 60] - 579.6975290000005
[88, 60, 97] - 578.616721999999
[88, 60, 94] - 576.3859159999997
[88, 36, 60] - 577.4807140000007
[88, 90, 60] - 575.7074839999995
[79, 60, 97] - 576.1326989999991
[79, 60, 94] - 576.1740610000005
[79, 36, 60] - 576.3751429999998
[79, 90, 60] - 572.8053509999996
[56, 60] - 571.5675999999996
[24, 60] - 634.516
[60, 41] - 571.010699999999
[60, 94, 97] - 574.4740979999997
[36, 60, 97] - 575.577454000001
[90, 60, 97] - 572.9966729999996
[36, 60, 94] - 573.4417029999989
[90, 60, 94] - 570.4361849999998
[36, 90, 60] - 570.6889709999996
[122, 119] - 539.0060000000002
[1, 119] - 573.3129999999998
[88, 79, 119] - 580.2342150000003
[88, 119, 97] - 513.3114790000001
[88, 119, 94] - 577.9281970000002
[88, 36, 119] - 580.9182850000002
[88, 90, 119] - 580.520326000001
[79, 119, 97] - 515.2228580000003
[79, 119, 94] - 582.7251250000003
[79, 36, 119] - 584.2574059999992
[79, 90, 119] - 584.3727620000004
[67, 119] - 549.1163999999995
[119, 41] - 639.5104000000003
[119, 94, 97] - 514.3484669999996
[36, 119, 97] - 516.2606459999994
[90, 119, 97] - 516.9903110000004
[36, 119, 94] - 581.2733320000004
[90, 119, 94] - 582.094186
[36, 90, 119] - 584.3419090000014
[114, 20] - 522.7057000000001
[63, 20] - 515.9167000000001
[20, 120] - 640.0920000000002
[56, 38, 20] - 592.4784790000002
[56, 97, 20] - 601.7435819999992
[56, 94, 20] - 601.0091929999999
[56, 36, 20] - 603.6767510000011
[56, 90, 20] - 606.9141499999997
[71, 20] - 597.9605999999998
[67, 20] - 594.0703999999997
[38, 97, 20] - 594.3923840000003
[38, 94, 20] - 616.5916940000008
[36, 38, 20] - 618.3044160000001
[38, 90, 20] - 624.8308439999998
[94, 20, 97] - 604.233311
[36, 20, 97] - 605.7763639999995
[90, 20, 97] - 610.7062689999993
[36, 94, 20] - 626.7183479999994
[90, 94, 20] - 633.9358320000003
[36, 90, 20] - 635.4191219999997
[57, 50] - 588.6751999999999
[1, 50] - 514.8799999999999
[50, 41, 97] - 540.6469360000003
[94, 50, 41] - 577.131272
[36, 50, 41] - 583.4259069999996
[90, 50, 41] - 579.6034410000003
[38, 50] - 645.5954999999998
[94, 50, 97] - 617.1848959999993
[36, 50, 97] - 622.5229559999998
[90, 50, 97] - 620.0705939999997
[36, 50, 94] - 660.7036690000001
[90, 50, 94] - 659.0293800000004
[36, 90, 50] - 665.0630269999997
[122, 39, 31] - 554.5113389999998
[1, 122, 39] - 551.1106099999994
[88, 122, 39] - 553.9156329999998
[122, 79, 39] - 551.555238
[122, 24, 39] - 556.9149030000005
[122, 39, 41] - 544.9493140000003
[122, 39, 94] - 549.8340700000006
[122, 36, 39] - 546.2246720000002
[122, 39, 90] - 547.5853199999999
[100, 39] - 621.6902000000009
[1, 39, 31] - 591.4819750000005
[88, 39, 31] - 566.2884559999993
[79, 39, 31] - 593.8058060000003
[24, 39, 31] - 600.0878880000012
[39, 41, 31] - 555.2497139999998
[39, 94, 31] - 593.823425999999
[36, 39, 31] - 593.4013249999996
[39, 90, 31] - 592.6048120000008
[88, 1, 39] - 600.7672480000004
[1, 79, 39] - 627.7157540000009
[1, 24, 39] - 593.3888880000019
[1, 39, 41] - 552.027958
[1, 39, 97] - 504.965128
[1, 39, 94] - 628.1814559999999
[1, 36, 39] - 624.443315999999
[1, 39, 90] - 624.1035520000006
[88, 79, 39] - 643.9303209999994
[88, 24, 39] - 605.2780999999998
[88, 39, 41] - 555.2119319999995
[88, 39, 97] - 521.821279000001
[88, 39, 94] - 641.5512040000004
[88, 36, 39] - 637.4520490000004
[88, 39, 90] - 641.0115369999999
[24, 79, 39] - 634.2140980000001
[79, 39, 41] - 552.6666070000003
[79, 39, 97] - 547.1521169999993
[79, 39, 94] - 671.9055020000002
[79, 36, 39] - 665.7525990000005
[79, 39, 90] - 667.8250819999996
[56, 39] - 626.2274999999998
[24, 39, 41] - 557.9276880000004
[24, 39, 97] - 515.0338680000009
[24, 39, 94] - 632.4491879999994
[24, 36, 39] - 631.5796220000003
[24, 39, 90] - 633.2530610000009
[39, 94, 41] - 551.2650659999998
[36, 39, 41] - 547.6726319999998
[39, 90, 41] - 548.813584000001
[39, 94, 97] - 550.2002300000004
[36, 39, 97] - 547.8997140000001
[39, 90, 97] - 547.3546090000011
[36, 39, 94] - 664.0195269999981
[39, 90, 94] - 666.7097410000011
[36, 39, 90] - 665.3612840000008
[110, 29, 70] - 544.1772939999996
[66, 110, 29] - 545.3699190000001
[55, 110, 29] - 542.1377800000007
[110, 57, 29] - 663.7501069999997
[110, 2, 29] - 670.0617780000014
[110, 24, 29] - 540.4688650000005
[110, 29, 41] - 658.9387020000005
[110, 38, 29] - 666.3924309999992
[110, 29, 97] - 661.9321660000005
[110, 29, 94] - 667.5495419999997
[110, 36, 29] - 664.8258569999991
[110, 90, 29] - 667.3239089999993
[66, 110, 70] - 545.4199940000001
[55, 110, 70] - 544.819773000001
[110, 57, 70] - 543.5948490000003
[110, 2, 70] - 548.1080849999996
[110, 24, 70] - 542.381158
[110, 70, 41] - 540.6514489999998
[110, 38, 70] - 544.5493070000003
[110, 70, 97] - 542.7610629999995
[110, 70, 94] - 546.764689
[110, 36, 70] - 544.0913860000003
[110, 90, 70] - 542.9372459999998
[55, 110, 66] - 546.2331000000003
[110, 66, 57] - 546.1899740000007
[110, 66, 2] - 549.2087699999995
[110, 66, 24] - 544.936813999999
[110, 66, 41] - 541.953006000001
[110, 66, 38] - 547.4325899999994
[110, 66, 97] - 544.4335360000001
[110, 66, 94] - 546.8521219999999
[110, 66, 36] - 545.525717
[110, 66, 90] - 545.6252309999998
[110, 55, 57] - 543.3876740000002
[110, 55, 2] - 546.6752089999997
[110, 55, 24] - 561.6560930000005
[110, 55, 41] - 539.3080490000001
[110, 55, 38] - 564.0301750000012
[110, 55, 97] - 562.8603990000004
[110, 55, 94] - 564.2391359999998
[110, 55, 36] - 564.9539289999998
[110, 55, 90] - 564.2027459999996
[110, 2, 57] - 666.9924340000006
[110, 24, 57] - 541.992320999999
[110, 57, 41] - 658.4246960000003
[110, 57, 38] - 665.2739209999993
[110, 57, 97] - 660.7760339999999
[110, 57, 94] - 665.3788609999999
[110, 57, 36] - 661.2248220000001
[110, 57, 90] - 664.8956890000006
[110, 24, 2] - 546.0360809999997
[110, 2, 41] - 663.4657949999995
[110, 2, 38, 94] - 506.2843627199997
[110, 2, 97] - 666.7436200000004
[110, 2, 36] - 668.0663249999989
[110, 2, 90] - 669.6048340000001
[110, 24, 41] - 538.1702270000009
[110, 24, 38] - 563.0739369999994
[110, 24, 97] - 560.8750080000002
[110, 24, 94] - 563.3482209999993
[110, 24, 36] - 562.624858
[110, 24, 90] - 561.8583919999996
[110, 38, 41] - 660.553396
[110, 41, 97] - 656.2268440000004
[110, 94, 41] - 661.2444019999994
[110, 36, 41] - 657.152636
[110, 90, 41] - 659.8607829999994
[110, 38, 94, 97] - 513.5674630400006
[110, 36, 38, 97] - 510.17051741999956
[110, 38, 90, 97] - 510.5594418799995
[110, 36, 38, 94] - 515.5311673400008
[110, 38, 90, 94] - 515.9219397599995
[110, 36, 38, 90] - 513.0066871900003
[110, 36, 94, 97] - 512.3655055700001
[110, 90, 94, 97] - 512.8878108100001
[110, 36, 90, 97] - 510.45070915999986
[110, 36, 90, 94] - 514.9509466500003
[121, 128] - 624.9394000000005
[121, 23] - 548.0860000000002
[121, 57, 41] - 651.4229089999991
[121, 57, 38] - 648.7394629999992
[121, 57, 97] - 632.7265179999991
[121, 57, 94] - 643.3203580000003
[121, 57, 36] - 649.4550729999994
[121, 57, 90] - 646.9755079999995
[121, 31] - 540.4011999999999
[121, 104] - 584.5294999999999
[121, 1] - 600.7662000000004
[121, 71] - 526.9090000000006
[121, 67] - 586.2406000000004
[121, 38, 41, 97] - 508.01220671999994
[121, 38, 94, 41] - 514.4196311599985
[121, 36, 38, 41] - 517.7506408300001
[121, 38, 90, 41] - 517.2009650900002
[121, 94, 41, 97] - 504.9971234900005
[121, 36, 41, 97] - 507.85273651000034
[121, 90, 41, 97] - 506.2418100100004
[121, 36, 94, 41] - 514.8984476000007
[121, 90, 94, 41] - 513.9557719899996
[121, 36, 90, 41] - 517.36933299
[121, 38, 94, 97] - 523.16467405
[121, 36, 38, 97] - 528.4593418000003
[121, 38, 90, 97] - 525.2173593400007
[121, 36, 38, 94] - 536.5128654299996
[121, 38, 90, 94] - 533.668436399999
[121, 36, 38, 90] - 540.1542887599985
[121, 36, 94, 97] - 526.3498135899994
[121, 90, 94, 97] - 522.75722216
[121, 36, 90, 97] - 528.2743749499998
[121, 36, 90, 94] - 537.8100163899995
[45, 114, 63, 42] - 549.6176541599998
[100, 45, 114, 63] - 541.03369735
[45, 2, 114, 63] - 546.1489366600003
[45, 114, 63, 120] - 540.7261292200002
[56, 45, 114, 63] - 548.4122659100001
[45, 24, 114, 63] - 545.0860019800006
[45, 114, 38, 63] - 538.7758896600011
[45, 114, 63, 97] - 549.3327306400002
[45, 114, 94, 63] - 543.6320066299991
[45, 36, 114, 63] - 544.44916057
[45, 114, 90, 63] - 543.4320545599988
[100, 45, 114, 42] - 544.1138893299999
[45, 2, 114, 42] - 550.0203562700005
[45, 114, 42, 120] - 545.1604087200001
[56, 45, 114, 42] - 551.54846686
[45, 24, 114, 42] - 548.6127636199994
[45, 114, 38, 42] - 542.10225227
[45, 114, 97, 42] - 553.5209423399997
[45, 114, 94, 42] - 547.7161390499988
[45, 36, 114, 42] - 548.5713524299994
[45, 114, 90, 42] - 547.2302652499984
[45, 100, 2, 114] - 540.50575666
[45, 100, 114, 120] - 536.4150198800003
[56, 45, 100, 114] - 543.7289425200009
[45, 100, 24, 114] - 540.7972760899993
[45, 100, 114, 38] - 533.6848066900004
[45, 100, 114, 97] - 543.4775131000006
[45, 100, 114, 94] - 538.1354308699995
[45, 100, 36, 114] - 539.37312511
[45, 100, 114, 90] - 538.2996871700009
[45, 2, 114, 120] - 541.6076241399994
[56, 45, 2, 114] - 549.201278870001
[45, 24, 2, 114] - 546.5823821299991
[45, 2, 114, 38] - 539.0876316500006
[45, 2, 114, 97] - 549.0138398199988
[45, 2, 114, 94] - 543.3654712799998
[45, 2, 36, 114] - 545.3903907099993
[45, 2, 114, 90] - 544.9411552800008
[56, 45, 114, 120] - 543.6333879800004
[45, 24, 114, 120] - 540.7604619299992
[45, 114, 38, 120] - 534.4381004100006
[45, 114, 97, 120] - 545.1300715699996
[45, 114, 94, 120] - 539.8935922599992
[45, 36, 114, 120] - 539.41397147
[45, 114, 90, 120] - 538.6927492400005
[45, 56, 24, 114] - 547.7803262099999
[45, 56, 114, 38] - 541.0947662300008
