Total itemsets found: 2086
Elapsed time: 3009ms
[21] - 784.9200000000006
[22] - 805.0400000000008
[44] - 834.740000000001
[125] - 857.2100000000006
[94, 53] - 689.4254999999996
[36, 53] - 693.7727999999994
[90, 53] - 697.5183999999995
[110, 102] - 725.5379999999996
[102, 29] - 726.8570000000004
[102, 70] - 729.3798999999996
[66, 102] - 731.9170000000004
[55, 102] - 725.2176999999995
[57, 102] - 728.9662
[2, 102] - 731.7608999999985
[24, 102] - 725.3585999999991
[102, 41] - 723.2547999999995
[102, 38] - 728.6277000000002
[102, 97] - 725.7515999999995
[102, 94] - 732.2725000000002
[36, 102] - 726.0604000000001
[102, 90] - 725.0941999999992
[88, 60] - 772.7486
[79, 60] - 770.3571000000004
[60, 97] - 768.8288000000006
[60, 94] - 766.8702999999998
[36, 60] - 768.1294999999997
[90, 60] - 763.7903999999997
[88, 119] - 770.7029000000014
[79, 119] - 775.2610999999998
[119, 97] - 686.1768999999998
[119, 94] - 772.7680999999999
[36, 119] - 775.5482000000003
[90, 119] - 775.397
[56, 20] - 804.742999999999
[38, 20] - 826.8418
[97, 20] - 808.1379999999996
[94, 20] - 838.898699999999
[36, 20] - 839.8923999999994
[90, 20] - 850.2203000000007
[50, 41] - 771.4913999999992
[50, 97] - 823.6581999999994
[94, 50] - 875.5846999999984
[36, 50] - 882.6211999999994
[90, 50] - 880.1351999999995
[122, 39] - 733.2677000000016
[39, 31] - 794.932299999998
[1, 39] - 836.0715999999987
[88, 39] - 854.6797999999983
[79, 39] - 892.5987000000008
[24, 39] - 847.0005000000007
[39, 41] - 734.1479
[39, 97] - 735.3602999999997
[39, 94] - 891.2456999999991
[36, 39] - 890.2046999999995
[39, 90] - 892.7048000000003
[110, 29] - 887.977899999999
[110, 70] - 726.4951999999995
[66, 110] - 728.8280999999989
[55, 110] - 753.0132999999987
[110, 57] - 885.422999999999
[110, 2] - 893.1761999999995
[110, 24] - 750.1888999999999
[110, 41] - 879.6183
[110, 38, 97] - 682.2433850000017
[110, 38, 94] - 689.248494999999
[110, 36, 38] - 685.1763570000004
[110, 38, 90] - 685.8714460000015
[110, 94, 97] - 685.0357609999993
[110, 36, 97] - 681.5469230000008
[110, 90, 97] - 682.5354199999996
[110, 36, 94] - 687.2044989999983
[110, 90, 94] - 688.1259989999991
[110, 36, 90] - 685.3809310000001
[121, 57] - 864.188599999999
[121, 38, 41] - 692.3235530000001
[121, 41, 97] - 678.1143609999993
[121, 94, 41] - 687.4301719999992
[121, 36, 41] - 691.340811
[121, 90, 41] - 690.3711170000007
[121, 38, 97] - 703.996601999999
[121, 38, 94] - 714.0955020000001
[121, 36, 38] - 721.544544999999
[121, 38, 90] - 718.4998799999998
[121, 94, 97] - 700.080896
[121, 36, 97] - 706.7488699999992
[121, 90, 97] - 702.2599569999996
[121, 36, 94] - 718.076182
[121, 90, 94] - 714.3356549999995
[121, 36, 90] - 722.5434220000016
[45, 114, 63] - 726.9363989999996
[45, 114, 42] - 731.9749569999999
[100, 45, 114] - 719.6867810000007
[45, 2, 114] - 727.5901129999988
[45, 114, 120] - 720.6821580000009
[56, 45, 114] - 730.2897679999998
[45, 24, 114] - 726.3647890000007
[45, 114, 38] - 717.130706
[45, 114, 97] - 731.6792729999995
[45, 114, 94] - 723.8210259999993
[45, 36, 114] - 725.1378459999988
[45, 114, 90] - 724.055984
[45, 63, 42] - 732.9415479999986
[100, 45, 63] - 723.7361879999999
[45, 2, 63] - 729.0203220000005
[45, 63, 120] - 721.9086520000005
[56, 45, 63] - 731.6514579999996
[45, 24, 63] - 727.7237680000021
[45, 38, 63] - 719.4370209999993
[45, 63, 97] - 733.2334099999988
[45, 94, 63] - 726.0841129999992
[45, 36, 63] - 727.015227999999
[45, 90, 63] - 726.2701930000001
[100, 45, 42] - 727.3627979999989
[45, 2, 42] - 733.2218479999993
[45, 42, 120] - 726.9750070000007
[56, 45, 42] - 735.262382999999
[45, 24, 42] - 731.5747310000002
[45, 38, 42] - 723.1923320000002
[45, 97, 42] - 737.935303999999
[45, 94, 42] - 730.9722520000005
[45, 36, 42] - 731.432098
[45, 90, 42] - 730.7240049999995
[45, 100, 2] - 723.0516590000002
[45, 100, 120] - 717.8273290000011
[56, 45, 100] - 727.0754689999995
[45, 100, 24] - 723.4728650000006
[45, 100, 38] - 714.3812960000009
[45, 100, 97] - 727.0996869999998
[45, 100, 94] - 720.4319980000014
[45, 100, 36] - 721.450182
[45, 100, 90] - 721.1034839999991
[45, 2, 120] - 722.617819
[56, 45, 2] - 732.6820519999992
[45, 24, 2] - 729.5879429999989
[45, 2, 38] - 719.7937820000001
[45, 2, 97] - 732.4222599999987
[45, 2, 94] - 725.8212099999992
[45, 2, 36] - 727.9223190000007
[45, 2, 90] - 728.0779280000014
[56, 45, 120] - 725.3120280000009
[45, 24, 120] - 721.9188860000005
[45, 38, 120] - 713.699526000001
[45, 97, 120] - 727.6145250000009
[45, 94, 120] - 721.0618059999996
[45, 36, 120] - 720.0978889999999
[45, 90, 120] - 719.7700699999998
[45, 56, 24] - 730.7747740000007
[45, 56, 38] - 722.1684759999988
[45, 56, 97] - 736.1092699999988
[45, 56, 94] - 728.7434799999993
[45, 56, 36] - 730.704187999999
[45, 56, 90] - 728.9630080000006
[45, 24, 38] - 717.9333999999998
[45, 24, 97] - 732.620886
[45, 24, 94] - 726.6118719999997
[45, 24, 36] - 726.6048950000002
[45, 24, 90] - 726.2792609999989
[45, 38, 97] - 724.5151339999993
[45, 38, 94] - 716.3280060000003
[45, 36, 38] - 718.4045690000007
[45, 38, 90] - 716.7560849999995
[45, 94, 97] - 730.5951910000025
[45, 36, 97] - 731.9076369999998
[45, 90, 97] - 731.1027919999997
[45, 36, 94] - 723.9284370000008
[45, 90, 94] - 724.4079950000007
[45, 36, 90] - 725.234609
[77, 2] - 730.6251999999998
[77, 120] - 764.6471999999993
[77, 56] - 813.5938999999987
[77, 24] - 730.0843999999995
[77, 38, 97] - 787.3498869999988
[77, 38, 94] - 784.2586539999988
[77, 36, 38] - 782.8194360000022
[77, 38, 90] - 783.1128699999988
[77, 94, 97] - 797.7787790000007
[77, 36, 97] - 793.6299550000012
[77, 90, 97] - 796.5514620000001
[77, 36, 94] - 791.8226839999993
[77, 90, 94] - 795.510611000001
[77, 36, 90] - 791.6875509999995
[2, 86] - 731.212699999999
[86, 120] - 766.7163999999998
[56, 86] - 820.2493999999995
[24, 86] - 741.0260999999987
[38, 97, 86] - 791.1698280000011
[38, 94, 86] - 793.627933
[36, 38, 86] - 792.1486770000018
[38, 90, 86] - 792.795073
[94, 86, 97] - 797.4961140000006
[36, 86, 97] - 794.5608969999985
[90, 86, 97] - 796.3129529999977
[36, 94, 86] - 796.2818379999999
[90, 94, 86] - 798.530261
[36, 90, 86] - 797.5677270000008
[23, 107] - 750.3135999999997
[107, 31] - 800.191099999999
[104, 107] - 832.0356999999989
[1, 107, 41] - 725.4837649999994
[1, 107, 97] - 733.894639999999
[1, 107, 94] - 737.765019999999
[1, 36, 107] - 748.4998809999994
[1, 90, 107] - 741.070482
[88, 107] - 798.1018000000007
[79, 107] - 799.4464000000004
[56, 107] - 771.020099999999
[107, 71, 97] - 686.1907240000011
[107, 71, 94] - 685.5601089999988
[36, 107, 71] - 700.3493280000007
[90, 107, 71] - 694.9606370000001
[67, 107, 97] - 729.2782949999995
[67, 107, 94] - 729.880527999999
[67, 36, 107] - 741.9416500000008
[67, 90, 107] - 738.8182829999993
[107, 41, 97] - 727.0257890000001
[107, 94, 41] - 732.0878740000006
[36, 107, 41] - 739.9601600000002
[90, 107, 41] - 732.570683999999
[38, 107] - 804.3876
[107, 94, 97] - 832.8660620000005
[36, 107, 97] - 846.4264139999985
[90, 107, 97] - 839.7894170000002
[36, 107, 94] - 846.7685329999994
[90, 107, 94] - 838.209750000001
[36, 90, 107] - 852.0473960000012
[57, 16] - 789.4778999999996
[16, 31] - 728.9603999999989
[1, 16] - 718.1877999999998
[24, 16] - 795.9686000000002
[16, 41, 97] - 778.9379799999995
[16, 94, 41] - 838.5951969999991
[36, 16, 41] - 838.3077559999992
[16, 90, 41] - 828.8843280000013
[38, 16] - 791.5144999999985
[16, 94, 97] - 824.5858260000009
[36, 16, 97] - 825.4910979999987
[16, 90, 97] - 817.0722780000003
[36, 16, 94] - 882.850593000001
[16, 90, 94] - 875.2504530000003
[36, 16, 90] - 877.3412110000004
[23, 108] - 778.8725999999987
[108, 31] - 833.7396000000007
[67, 104, 108] - 674.204106000001
[67, 1, 108] - 687.4490070000007
[1, 108, 41] - 748.7148890000003
[1, 108, 97] - 797.240746
[1, 108, 94] - 778.3412289999997
[1, 36, 108] - 776.5559500000005
[1, 90, 108] - 793.1664999999999
[88, 108] - 842.5056999999988
[79, 108] - 832.4803000000006
